1@1@Jack Abbott;@Courtesy of Clive Abbott.
319@436@[WH Smyley] Whaling in the South Atlantic;@"By B F West. Peabody Essex Museum, Salem MA."
320@436@William H Smyley;@Courtesy of Falkland Islands Museum.
321@436@Painting of Keppel Island;@Courtesy of Falkland Islands Museum.
322@438@Jack Sollis;@Courtesy of Falkland Islands Government Archives.
323@440@Thoralf Sørlle;@Courtesy of Odd Galteland.
324@441@Admiral von Spee;@From Hans Pochhammer: Graf Spees letzte Fahrt Berlin 1918.
325@442@Victor Spencer;@Courtesy of Robin Pitaluga and Norman Clark.
326@443@Admiral Spotts;@Courtesy of Professor Hattendorf.
327@444@Monsignor Spraggon;@Courtesy of Father Monaghan.
328@445@The Rev Albert Stevensen;@Courtesy of Bill Featherstone.
329@446@Michael Stewart;@© National Portrait Gallery London.
330@448@Bishop Stirling;@Courtesy of Falkland Islands Government Archives.
331@448@Laying the foundation stone for the Cathedral;@Courtesy of Falkland Islands Museum.
332@449@Unveiling the monument to John Strong;@Courtesy of Falkland Islands Museum.
333@450@Admiral Sturdee;@"Study by Arthur Stockdale Cope. Courtesy of the National Maritime Museum, Greenwich."
334@450@[Admiral Sturdee] Postcard;@Courtesy of the Falkland Islands Company.
335@451@Admiral Bartholomew Sulivan;@"From Life and Letters of Admiral Sulivan, London 1898."
336@452@Philip Summers;@Courtesy of Brian Summers.
337@453@Ron Summers;@Courtesy of Ron Summers.
338@456@Ellaline Terriss;@© National Portrait Gallery London.
339@456@From an unidentified children’s biography of Ellaline Terriss;@Courtesy of Falkland Islands Government Archives.
340@457@William Terriss;@Courtesy of the Falkland Islands Company.
341@459@WH Thompson;@Photo by John Leonard.
342@460@Lance Tickell;@Photo by Harold Dollman.
343@461@George Travis;@Courtesy of British Library.
344@462@Alec Trendall;@Courtesy of Alec Trendall.
345@463@Bishop Cyril Tucker;@Courtesy of the South American Missionary Society.
346@464@[Tyssen] Port Louis from the north west in 1833;@"By Conrad Martens. © National Maritime Museum, PW 6240."
347@466@Elinor Vallentin;@Courtesy of Robin W Woods.
348@468@[Rosa Veneroni] Holy Communion class around 1918;@"Courtesy of St Mary’s, Stanley."
349@469@Louis Vernet;@"Courtesy of the Museo Historico Nacional, Buenos Aires."
350@469@[Louis Vernet] View of Port Louis;@"Courtesy of the Museo Historico Nacional, Buenos Aires."
351@469@[Louis Vernet] stamps;@Thanks to Major Ronnie Spafford.
352@471@Marjorie and Dick Vinson;@Courtesy of Ken Vinson.
353@472@Rolling wool;@Courtesy of Ken Vinson.
354@473@Henry Waldron;@Courtesy of Falkland Islands Government Archives.
355@475@Stuart Wallace;@Courtesy of Stuart Wallace.
356@478@Captain Warne;@Courtesy of Philip Warne.
357@479@Mary Watson;@"Courtesy of the Cathedral, Stanley."
358@480@Norman Watt;@Courtesy of Mrs Vivienne Watt.
359@481@James Weddell;@Courtesy of the Scott Polar Research Institute.
360@482@[Seebald de Weert] Seal and penguin hunting in the seventeenth century;@From C17 print.
361@488@James Innes Wilson;@Courtesy of Falkland Islands Government Archives.
362@490@Captain William Wiseman;@Courtesy of Admiral Layman.
363@491@The Woodgate family;@Courtesy of John James Austen Woodgate.
364@492@Robin Woods;@Courtesy of Robin Woods.
365@495@Governor Young;@Courtesy of Falkland Islands Government Archives.
